conta;ccusto;data;valor;chave;chave2
ALUGUEL DE IMOVEIS;COM FOR;01/05/2019;7800;ALUGUELDEIMOVEISCOMFOR52019TERRA7800;ALUGUELDEIMOVEISCOMFOR52019
ALUGUEL DE IMOVEIS;DHL FOR;01/05/2019;260;ALUGUELDEIMOVEISDHLFOR52019TERRA260;ALUGUELDEIMOVEISDHLFOR52019
ALUGUEL DE IMOVEIS;MART FOR;01/05/2019;1040;ALUGUELDEIMOVEISMARTFOR52019TERRA1040;ALUGUELDEIMOVEISMARTFOR52019
CAPATAZIA ENTREGAS;COM FOR;15/05/2019;140;CAPATAZIAENTREGASCOMFOR52019LAUTO140;CAPATAZIAENTREGASCOMFOR52019
CAPATAZIA ENTREGAS;DHL FOR;02/05/2019;59,99999949;CAPATAZIAENTREGASDHLFOR52019LAUTO5999999949;CAPATAZIAENTREGASDHLFOR52019
CAPATAZIA ENTREGAS;MART FOR;02/05/2019;79,45000296;CAPATAZIAENTREGASMARTFOR52019LAUTO7945000296;CAPATAZIAENTREGASMARTFOR52019
COMBUSTIVEL FUNCIONARIOS;COM FOR;02/05/2019;30,02999967;COMBUSTIVELFUNCIONARIOSCOMFOR52019LAUTO3002999967;COMBUSTIVELFUNCIONARIOSCOMFOR52019
CONSULTORIA E AUDITORIA;COM FOR;03/05/2019;1605,7;CONSULTORIAEAUDITORIACOMFOR52019LUCCA16057;CONSULTORIAEAUDITORIACOMFOR52019
CUSTAS E EMOLUMENTOS;FINANCEIRO;02/05/2019;71,21999862;CUSTASEEMOLUMENTOSFINANCEIRO52019LAUTO7121999862;CUSTASEEMOLUMENTOSFINANCEIRO52019
EMBALAGENS;COM FOR;06/05/2019;1900;EMBALAGENSCOMFOR52019JOSÉ1900;EMBALAGENSCOMFOR52019
ENTREGA DE TERCEIROS;AZUL FOR;02/05/2019;1100;ENTREGADETERCEIROSAZULFOR52019FRANC1100;ENTREGADETERCEIROSAZULFOR52019
ENTREGA DE TERCEIROS;AZUL FOR;02/05/2019;1100;ENTREGADETERCEIROSAZULFOR52019HAMIL1100;ENTREGADETERCEIROSAZULFOR52019
ENTREGA DE TERCEIROS;AZUL FOR;02/05/2019;2155,78;ENTREGADETERCEIROSAZULFOR52019FRANC215578;ENTREGADETERCEIROSAZULFOR52019
ENTREGA DE TERCEIROS;AZUL FOR;03/05/2019;1100;ENTREGADETERCEIROSAZULFOR52019JAYLE1100;ENTREGADETERCEIROSAZULFOR52019
ENTREGA DE TERCEIROS;PM BEL;02/05/2019;9900;ENTREGADETERCEIROSPMBEL52019RLP9900;ENTREGADETERCEIROSPMBEL52019
ENTREGA DE TERCEIROS;PM MCP;07/05/2019;5877,9;ENTREGADETERCEIROSPMMCP52019AACR58779;ENTREGADETERCEIROSPMMCP52019
ESTACIONAMENTO;COM FOR;02/05/2019;1,99999953;ESTACIONAMENTOCOMFOR52019LAUTO199999953;ESTACIONAMENTOCOMFOR52019
FGTS RESCISORIO;COM FOR;14/05/2019;1941,59;FGTSRESCISORIOCOMFOR52019CAIXA194159;FGTSRESCISORIOCOMFOR52019
FGTS RESCISORIO;AZUL FOR;10/05/2019;875;FGTSRESCISORIOAZULFOR52019CAIXA875;FGTSRESCISORIOAZULFOR52019
FGTS RESCISORIO;PM FOR;09/05/2019;1932,79;FGTSRESCISORIOPMFOR52019CAIXA193279;FGTSRESCISORIOPMFOR52019
FGTS RESCISORIO;PM FOR;09/05/2019;5054,04;FGTSRESCISORIOPMFOR52019CAIXA505404;FGTSRESCISORIOPMFOR52019
FGTS RESCISORIO;PM FOR;10/05/2019;2131,59;FGTSRESCISORIOPMFOR52019CAIXA213159;FGTSRESCISORIOPMFOR52019
FGTS RESCISORIO;PM FOR;10/05/2019;2225,38;FGTSRESCISORIOPMFOR52019CAIXA222538;FGTSRESCISORIOPMFOR52019
